I0,I1,I2,I3
0.800000,0.809093,0.011166,129446.125000
0.800000,0.808270,0.007994,129446.460938
0.800000,0.801592,-0.002688,129446.796875
0.800000,0.795823,-0.002322,129447.132813
0.800000,0.791251,-0.012421,129447.468750
0.800000,0.792708,0.000743,129447.804688
0.800000,0.805890,0.006354,129448.140625
0.800000,0.796602,-0.003088,129448.476563
0.800000,0.797424,0.000085,129448.812500
0.800000,0.802876,-0.005278,129449.148438
0.800000,0.801449,0.008070,129449.484375
0.800000,0.804202,-0.003929,129449.820313
0.800000,0.782872,-0.010814,129450.156250
0.800000,0.812669,0.002340,129450.492188
0.800000,0.786030,-0.009940,129450.828125
0.800000,0.802876,-0.005278,129451.164063
0.800000,0.791886,-0.002430,129451.500000
0.800000,0.812020,0.014922,129451.835938
0.800000,0.789737,-0.006951,129452.171875
0.800000,0.801318,-0.003746,129452.507813
0.800000,0.790198,-0.012713,129452.843750
0.800000,0.798795,0.005372,129453.179688
0.800000,0.796876,-0.002030,129453.515625
0.800000,0.779352,-0.020622,129453.851563
0.800000,0.807217,0.007703,129454.187500
0.800000,0.808775,0.006171,129454.523438
0.800000,0.806121,0.003473,129454.859375
0.800000,0.793761,0.001034,129455.195313
0.800000,0.797294,-0.011731,129455.531250
0.800000,0.797655,-0.002796,129455.867188
0.800000,0.802819,0.013357,129456.203125
0.800000,0.785208,-0.013112,129456.539063
0.800000,0.789737,-0.006951,129456.875000
0.800000,0.804751,-0.001814,129457.210938
0.800000,0.807679,0.001941,129457.546875
0.800000,0.813217,0.004455,129457.882813
0.800000,0.794266,-0.000789,129458.218750
0.800000,0.806165,0.007411,129458.554688
0.800000,0.802919,-0.001340,129458.890625
0.800000,0.804015,0.002890,129459.226563
0.800000,0.822131,0.027536,129459.562500
0.800000,0.802963,0.002599,129459.898438
0.800000,0.807722,0.005879,129460.234375
0.800000,0.795506,-0.007317,129460.570313
0.800000,0.786304,-0.008882,129460.906250
0.800000,0.806352,0.000592,129461.242188
0.800000,0.785987,-0.013878,129461.578125
0.800000,0.792217,-0.020007,129461.914063
0.800000,0.802314,0.015180,129462.250000
0.800000,0.805847,0.002416,129462.585938
0.800000,0.784155,-0.013403,129462.921875
0.800000,0.802688,0.001541,129463.257813
0.800000,0.804333,0.007886,129463.593750
0.800000,0.800813,-0.001922,129463.929688
0.800000,0.817011,0.015321,129464.265625
0.800000,0.791107,-0.001663,129464.601563
0.800000,0.795506,-0.007317,129464.937500
0.800000,0.814631,0.013681,129465.273438
0.800000,0.823010,0.012073,129465.609375
0.800000,0.798477,0.000376,129465.945313
0.800000,0.798477,0.000376,129466.281250
0.800000,0.799212,-0.004329,129466.617188
0.800000,0.792578,-0.011073,129466.953125
0.800000,0.790746,-0.010598,129467.289063
0.800000,0.791886,-0.002430,129467.625000
0.800000,0.810058,0.003581,129467.960938
0.800000,0.805934,0.010292,129468.296875
0.800000,0.792160,-0.001372,129468.632813
0.800000,0.793170,-0.005019,129468.968750
0.800000,0.804838,0.006063,129469.304688
0.800000,0.801131,0.003074,129469.640625
0.800000,0.785526,-0.008116,129469.976563
0.800000,0.808775,0.006171,129470.312500
0.800000,0.808227,0.004056,129470.648438
0.800000,0.800713,0.012774,129470.984375
0.800000,0.798621,-0.010382,129471.320313
0.800000,0.797973,0.002200,129471.656250
0.800000,0.796558,-0.007026,129471.992188
0.800000,0.797973,0.002200,129472.328125
0.800000,0.791843,-0.006368,129472.664063
0.800000,0.797381,-0.003854,129473.000000
0.800000,0.795362,0.003440,129473.335938
0.800000,0.799212,-0.004329,129473.671875
0.800000,0.793213,-0.001081,129474.007813
0.800000,0.812712,0.006279,129474.343750
0.800000,0.809828,0.006462,129474.679688
0.800000,0.777059,-0.014385,129475.015625
0.800000,0.801131,0.003074,129475.351563
0.800000,0.808183,0.000117,129475.687500
0.800000,0.805529,-0.002580,129476.023438
0.800000,0.808140,-0.003821,129476.359375
0.800000,0.790198,-0.012713,129476.695313
0.800000,0.807305,0.015580,129477.031250
0.800000,0.797381,-0.003854,129477.367188
0.800000,0.807174,0.003764,129477.703125
0.800000,0.795867,0.001617,129478.039063
0.800000,0.791294,-0.008483,129478.375000
0.800000,0.809049,0.007228,129478.710938
0.800000,0.784934,-0.014170,129479.046875
0.800000,0.824193,0.024180,129479.382813
0.800000,0.790242,-0.008774,129479.718750
0.800000,0.792765,-0.017892,129480.054688
0.800000,0.804102,0.010767,129480.390625
0.800000,0.801910,0.002308,129480.726563
0.800000,0.805112,0.007120,129481.062500
0.800000,0.814818,0.006861,129481.398438
0.800000,0.795549,-0.003379,129481.734375
0.800000,0.796185,0.006613,129482.070313
0.800000,0.807809,0.013756,129482.406250
0.800000,0.797973,0.002200,129482.742188
0.800000,0.801044,-0.004803,129483.078125
0.800000,0.790833,-0.002721,129483.414063
0.800000,0.799212,-0.004329,129483.750000
0.800000,0.787949,-0.002538,129484.085938
0.800000,0.808731,0.002232,129484.421875
0.800000,0.817011,0.015321,129484.757813
0.800000,0.795319,-0.000498,129485.093750
0.800000,0.795823,-0.002322,129485.429688
0.800000,0.803324,0.011533,129485.765625
0.800000,0.793213,-0.001081,129486.101563
0.800000,0.815453,0.016853,129486.437500
0.800000,0.810694,0.013573,129486.773438
0.800000,0.805573,0.001358,129487.109375
0.800000,0.792491,-0.018950,129487.445313
0.800000,0.802184,0.003365,129487.781250
0.800000,0.823415,0.024946,129488.117188
0.800000,0.794266,-0.000789,129488.453125
0.800000,0.784703,-0.011289,129488.789063
0.800000,0.808096,-0.007760,129489.125000
0.800000,0.818612,0.017727,129489.460938
0.800000,0.807909,-0.000940,129489.796875
0.800000,0.783651,-0.011580,129490.132813
0.800000,0.791338,-0.004544,129490.468750
0.800000,0.785582,-0.026751,129490.804688
0.800000,0.793948,-0.005785,129491.140625
0.800000,0.801549,-0.006627,129491.476563
0.800000,0.781271,-0.013220,129491.812500
0.800000,0.806395,0.004530,129492.148438
0.800000,0.796054,-0.005203,129492.484375
0.800000,0.796920,0.001908,129492.820313
0.800000,0.805847,0.002416,129493.156250
0.800000,0.802227,0.007303,129493.492188
0.800000,0.797424,0.000085,129493.828125
0.800000,0.787357,-0.008591,129494.164063
0.800000,0.790198,-0.012713,129494.500000
0.800000,0.798247,0.003257,129494.835938
0.800000,0.815048,0.003980,129495.171875
0.800000,0.809641,0.013281,129495.507813
0.800000,0.815048,0.003980,129495.843750
0.800000,0.806987,0.010584,129496.179688
0.800000,0.780766,-0.011396,129496.515625
